
# Curve 0 of 1, 100 points
# Curve title: "normal(x,10.392,0.534945)"
# x y type
 9.075  0.0360118  i
 9.10106  0.0405524  i
 9.12712  0.0455574  i
 9.15318  0.0510587  i
 9.17924  0.0570887  i
 9.2053  0.0636795  i
 9.23136  0.0708628  i
 9.25742  0.0786696  i
 9.28348  0.0871293  i
 9.30955  0.09627  i
 9.33561  0.106118  i
 9.36167  0.116695  i
 9.38773  0.128023  i
 9.41379  0.140117  i
 9.43985  0.152991  i
 9.46591  0.166651  i
 9.49197  0.1811  i
 9.51803  0.196336  i
 9.54409  0.212349  i
 9.57015  0.229124  i
 9.59621  0.246638  i
 9.62227  0.264861  i
 9.64833  0.283756  i
 9.67439  0.303279  i
 9.70045  0.323377  i
 9.72652  0.343989  i
 9.75258  0.365047  i
 9.77864  0.386477  i
 9.8047  0.408194  i
 9.83076  0.43011  i
 9.85682  0.452128  i
 9.88288  0.474147  i
 9.90894  0.496059  i
 9.935  0.517754  i
 9.96106  0.539116  i
 9.98712  0.560029  i
 10.0132  0.580375  i
 10.0392  0.600034  i
 10.0653  0.618888  i
 10.0914  0.636821  i
 10.1174  0.653721  i
 10.1435  0.669479  i
 10.1695  0.683991  i
 10.1956  0.697161  i
 10.2217  0.7089  i
 10.2477  0.719128  i
 10.2738  0.727775  i
 10.2998  0.73478  i
 10.3259  0.740093  i
 10.352  0.743678  i
 10.378  0.745509  i
 10.4041  0.745573  i
 10.4302  0.743869  i
 10.4562  0.74041  i
 10.4823  0.73522  i
 10.5083  0.728336  i
 10.5344  0.719806  i
 10.5605  0.709689  i
 10.5865  0.698056  i
 10.6126  0.684986  i
 10.6386  0.670568  i
 10.6647  0.654897  i
 10.6908  0.638075  i
 10.7168  0.620213  i
 10.7429  0.601421  i
 10.7689  0.581816  i
 10.795  0.561516  i
 10.8211  0.54064  i
 10.8471  0.519306  i
 10.8732  0.497632  i
 10.8992  0.475731  i
 10.9253  0.453717  i
 10.9514  0.431695  i
 10.9774  0.409769  i
 11.0035  0.388034  i
 11.0295  0.366581  i
 11.0556  0.345493  i
 11.0817  0.324846  i
 11.1077  0.30471  i
 11.1338  0.285143  i
 11.1598  0.266201  i
 11.1859  0.247928  i
 11.212  0.230362  i
 11.238  0.213533  i
 11.2641  0.197465  i
 11.2902  0.182172  i
 11.3162  0.167666  i
 11.3423  0.153949  i
 11.3683  0.141019  i
 11.3944  0.128869  i
 11.4205  0.117486  i
 11.4465  0.106855  i
 11.4726  0.096956  i
 11.4986  0.0877652  i
 11.5247  0.0792573  i
 11.5508  0.0714044  i
 11.5768  0.0641772  i
 11.6029  0.0575447  i
 11.6289  0.0514753  i
 11.655  0.045937  i

